Protein,log2FC,pvalue,padj
OPA1,-0.620382400011138,0.0014457109743899,0.06759945107836912
SLC39A14,0.278907403556072,0.500463034162247,0.7087236921186438
TCEB1,0.130771439179593,0.0542313706678187,0.25533937022764636
SKP1,1.46446346747734,8e-05,0.011242623513160735
C3orf37,0.280907204413577,0.261974573844598,0.5071759036275358
UBR5,-0.103548002625313,0.612829335515655,0.7936930076019371
CD44,0.477772167925131,0.024655653735379,0.19492819808454492
SEPT7,-0.289633853318723,0.174137403250053,0.41426371720538924
PRRC2C,-0.21400124714707,0.0974787220036087,0.3200512034791608
STAU2,-0.255503370090814,0.450307386933936,0.678642187434148
TET2,-0.104939905182064,0.482467136238178,0.6974684826641464
PAPSS2,0.369385580879872,0.108216524784921,0.3335036536553474
ATP2C1,0.430081110034635,0.01143257295798,0.16144545514420078
TNS3,-0.0854941241732803,0.681121051662716,0.832822494188136
HSPA4L,0.0274608593634653,0.855881416914,0.926237191807968
MAP4K4,-0.406319916620184,0.177902000189084,0.4188109587784686
USP19,0.528902399773266,0.0358995800932673,0.21922090249135576
RPS24,-0.124692978942019,0.536609880796904,0.7320352096183117
PLOD2,0.2900158119633,0.120538474969326,0.3530241297157798
GPX8,-0.226425910997737,0.409125567170167,0.6413575365118457
CSNK2A1,-0.253128411616558,0.262384814082377,0.5071759036275358
ABCD3,-0.262429420982443,0.201446752916791,0.442009380186357
EIF4G1,0.0974305355085363,0.622379985486802,0.7994101688105749
MAP4,0.372088433056287,0.0813251048231154,0.301302847377444
KLC1,-0.218533577650195,0.431656520512445,0.6609221690897027
HSD17B4,0.380177383593306,0.0984060978822478,0.32153896079115185
RAVER1,-0.40316527875817,0.0871294266949514,0.31006224152027945
HK2,0.290886969037899,0.378385887676812,0.6115509698328452
OGDH,0.0014723473385487,0.995018675890786,0.9990192812917575
SMC4,-0.887443641380713,0.0064482162357756,0.13248153357138961
WDR6,0.132948573729465,0.425630167029208,0.6551129472095414
FUBP1,0.340026757576755,0.170063249373974,0.4073718930048104
NUP155,0.605096388321147,3.59259634743623e-05,0.010848000000000002
TNS1,-0.964102072235526,0.0028600630841344,0.1013848620823541
EGFR,0.655196081601417,0.0061165306562807,0.13248153357138961
